"condor_memb","name","entity","tissue_type"
2,"ANP32A","gene","ADRENAL_GLAND"
2,"APEX1","gene","ADRENAL_GLAND"
1,"ARL5B","gene","ADRENAL_GLAND"
2,"ASB7","gene","ADRENAL_GLAND"
2,"BAG5","gene","ADRENAL_GLAND"
3,"BCL11A","gene","ADRENAL_GLAND"
2,"BET1L","gene","ADRENAL_GLAND"
1,"BMP5","gene","ADRENAL_GLAND"
1,"BRCA1","gene","ADRENAL_GLAND"
2,"CCDC174","gene","ADRENAL_GLAND"
2,"CCDC184","gene","ADRENAL_GLAND"
3,"CDK8","gene","ADRENAL_GLAND"
2,"CDKN2C","gene","ADRENAL_GLAND"
2,"CEBPB","gene","ADRENAL_GLAND"
3,"CEP192","gene","ADRENAL_GLAND"
2,"CEP290","gene","ADRENAL_GLAND"
2,"CEPT1","gene","ADRENAL_GLAND"
2,"CHEK1","gene","ADRENAL_GLAND"
2,"CHERP","gene","ADRENAL_GLAND"
2,"CIAO3","gene","ADRENAL_GLAND"
2,"CLEC16A","gene","ADRENAL_GLAND"
2,"CNIH2","gene","ADRENAL_GLAND"
1,"CNPY1","gene","ADRENAL_GLAND"
2,"COA8","gene","ADRENAL_GLAND"
2,"COX4I1","gene","ADRENAL_GLAND"
2,"CRLS1","gene","ADRENAL_GLAND"
2,"CTNNBL1","gene","ADRENAL_GLAND"
2,"CWF19L2","gene","ADRENAL_GLAND"
2,"CYB5D2","gene","ADRENAL_GLAND"
2,"CZIB","gene","ADRENAL_GLAND"
2,"DCAF8","gene","ADRENAL_GLAND"
2,"DDI2","gene","ADRENAL_GLAND"
2,"DGCR6","gene","ADRENAL_GLAND"
2,"DLAT","gene","ADRENAL_GLAND"
1,"DNAI7","gene","ADRENAL_GLAND"
2,"DNAJC19","gene","ADRENAL_GLAND"
1,"DNTT","gene","ADRENAL_GLAND"
2,"DPH5","gene","ADRENAL_GLAND"
2,"DPY30","gene","ADRENAL_GLAND"
2,"DRAM2","gene","ADRENAL_GLAND"
2,"E4F1","gene","ADRENAL_GLAND"
2,"EED","gene","ADRENAL_GLAND"
2,"EEF1G","gene","ADRENAL_GLAND"
2,"EIF3D","gene","ADRENAL_GLAND"
2,"EIF3K","gene","ADRENAL_GLAND"
2,"EIF4A2","gene","ADRENAL_GLAND"
2,"EIF4B","gene","ADRENAL_GLAND"
2,"ELP3","gene","ADRENAL_GLAND"
2,"EMC8","gene","ADRENAL_GLAND"
2,"EPC2","gene","ADRENAL_GLAND"
2,"EPRS1","gene","ADRENAL_GLAND"
2,"ESYT1","gene","ADRENAL_GLAND"
3,"ETFDH","gene","ADRENAL_GLAND"
2,"ETFRF1","gene","ADRENAL_GLAND"
2,"FAAP100","gene","ADRENAL_GLAND"
2,"FAF1","gene","ADRENAL_GLAND"
2,"FAM174B","gene","ADRENAL_GLAND"
2,"FAM229B","gene","ADRENAL_GLAND"
2,"FKBP15","gene","ADRENAL_GLAND"
3,"FKTN","gene","ADRENAL_GLAND"
2,"GGCX","gene","ADRENAL_GLAND"
1,"GNL3","gene","ADRENAL_GLAND"
2,"GOLGA7","gene","ADRENAL_GLAND"
2,"HAP1","gene","ADRENAL_GLAND"
2,"HAX1","gene","ADRENAL_GLAND"
2,"HM13","gene","ADRENAL_GLAND"
2,"HMGA1","gene","ADRENAL_GLAND"
2,"HOXA10","gene","ADRENAL_GLAND"
1,"HOXA9","gene","ADRENAL_GLAND"
2,"HS2ST1","gene","ADRENAL_GLAND"
2,"IFT122","gene","ADRENAL_GLAND"
2,"IPO8","gene","ADRENAL_GLAND"
2,"ITFG1","gene","ADRENAL_GLAND"
2,"KIAA2013","gene","ADRENAL_GLAND"
2,"KIFBP","gene","ADRENAL_GLAND"
2,"KLC1","gene","ADRENAL_GLAND"
2,"KLHDC9","gene","ADRENAL_GLAND"
2,"KMT2A","gene","ADRENAL_GLAND"
2,"LEO1","gene","ADRENAL_GLAND"
2,"LINS1","gene","ADRENAL_GLAND"
2,"LRRCC1","gene","ADRENAL_GLAND"
2,"LSM4","gene","ADRENAL_GLAND"
2,"MAP4K1","gene","ADRENAL_GLAND"
2,"MBD4","gene","ADRENAL_GLAND"
2,"MCTS1","gene","ADRENAL_GLAND"
2,"ME2","gene","ADRENAL_GLAND"
2,"MED1","gene","ADRENAL_GLAND"
2,"MED29","gene","ADRENAL_GLAND"
3,"MEF2C","gene","ADRENAL_GLAND"
2,"MKS1","gene","ADRENAL_GLAND"
2,"MPC1","gene","ADRENAL_GLAND"
2,"MPND","gene","ADRENAL_GLAND"
2,"MRFAP1","gene","ADRENAL_GLAND"
2,"MRPL15","gene","ADRENAL_GLAND"
2,"MRPS12","gene","ADRENAL_GLAND"
2,"MRPS16","gene","ADRENAL_GLAND"
2,"MYB","gene","ADRENAL_GLAND"
1,"MYC","gene","ADRENAL_GLAND"
2,"MYO9A","gene","ADRENAL_GLAND"
2,"MZF1","gene","ADRENAL_GLAND"
2,"NAA30","gene","ADRENAL_GLAND"
3,"NAALADL2","gene","ADRENAL_GLAND"
2,"NAP1L2","gene","ADRENAL_GLAND"
2,"NBR1","gene","ADRENAL_GLAND"
2,"NCOA5","gene","ADRENAL_GLAND"
1,"ND6","gene","ADRENAL_GLAND"
2,"NDFIP2","gene","ADRENAL_GLAND"
2,"NDUFAB1","gene","ADRENAL_GLAND"
2,"NDUFS5","gene","ADRENAL_GLAND"
2,"NEURL4","gene","ADRENAL_GLAND"
2,"NME1","gene","ADRENAL_GLAND"
2,"NOL6","gene","ADRENAL_GLAND"
1,"NRAP","gene","ADRENAL_GLAND"
2,"NSUN5","gene","ADRENAL_GLAND"
3,"NSUN6","gene","ADRENAL_GLAND"
2,"NUDT9","gene","ADRENAL_GLAND"
2,"PAF1","gene","ADRENAL_GLAND"
2,"PARG","gene","ADRENAL_GLAND"
2,"PARP1","gene","ADRENAL_GLAND"
2,"PBRM1","gene","ADRENAL_GLAND"
2,"PCNX4","gene","ADRENAL_GLAND"
3,"PDE4D","gene","ADRENAL_GLAND"
2,"PDPR","gene","ADRENAL_GLAND"
2,"PDSS2","gene","ADRENAL_GLAND"
2,"PHAF1","gene","ADRENAL_GLAND"
2,"PHF6","gene","ADRENAL_GLAND"
2,"PHF8","gene","ADRENAL_GLAND"
2,"PHKB","gene","ADRENAL_GLAND"
2,"PIGK","gene","ADRENAL_GLAND"
2,"PKN2","gene","ADRENAL_GLAND"
2,"PPP5C","gene","ADRENAL_GLAND"
2,"PSMB6","gene","ADRENAL_GLAND"
2,"PSMD8","gene","ADRENAL_GLAND"
2,"RAD52","gene","ADRENAL_GLAND"
2,"RALGAPA1","gene","ADRENAL_GLAND"
2,"RBM33","gene","ADRENAL_GLAND"
2,"RIOK2","gene","ADRENAL_GLAND"
3,"RNF111","gene","ADRENAL_GLAND"
2,"RNF139","gene","ADRENAL_GLAND"
2,"RPS12","gene","ADRENAL_GLAND"
2,"RPS16","gene","ADRENAL_GLAND"
2,"RPS6KL1","gene","ADRENAL_GLAND"
1,"RUNX1","gene","ADRENAL_GLAND"
2,"SARS2","gene","ADRENAL_GLAND"
2,"SELENOF","gene","ADRENAL_GLAND"
3,"SENP8","gene","ADRENAL_GLAND"
2,"SETBP1","gene","ADRENAL_GLAND"
2,"SET","gene","ADRENAL_GLAND"
2,"SFR1","gene","ADRENAL_GLAND"
2,"SLC31A1","gene","ADRENAL_GLAND"
2,"SUPT5H","gene","ADRENAL_GLAND"
2,"TAF13","gene","ADRENAL_GLAND"
2,"TAF1A","gene","ADRENAL_GLAND"
2,"TAF5","gene","ADRENAL_GLAND"
2,"TAFAZZIN","gene","ADRENAL_GLAND"
2,"TBC1D23","gene","ADRENAL_GLAND"
2,"TBC1D8","gene","ADRENAL_GLAND"
2,"TCEA1","gene","ADRENAL_GLAND"
