"","x"
"ADNP2_B",3
"ADNP_B",1
"ADORA1_B",3
"ADORA2A-AS1_B",3
"ADORA2A_B",3
"ADORA2B_B",3
"ADORA3_B",2
"ADO_B",3
"ADPGK-AS1_B",1
"ADPGK_B",3
"ADPRHL1_B",3
"ADPRH_B",2
"ADPRM_B",3
"ADRA1A_B",1
"ADRA1B_B",2
"ADRA1D_B",3
"ADRA2A_B",3
"ADRA2B_B",2
"ADRA2C_B",3
"ADRB1_B",3
"ADRB2_B",3
"ADRB3_B",2
"ADRM1_B",3
"ADSL_B",3
"ADTRP_B",1
"AEBP1_B",3
"AEBP2_B",3
"AEN_B",1
"AFAP1-AS1_B",2
"AFAP1L1_B",1
"AFAP1L2_B",3
"AFAP1_B",3
"AFF1_B",1
"AFF2_B",1
"AFF3_B",1
"AFF4_B",1
"AFG3L1P_B",3
"AFG3L2_B",3
"AFMID_B",3
"AFM_B",1
"AFP_B",2
"AFTPH_B",3
"AGAP1-IT1_B",3
"AGAP11_B",3
"AGAP1_B",3
"AGAP2-AS1_B",3
"AGAP2_B",3
"AGAP3_B",3
"AGAP4_B",1
"AGAP5_B",3
"AGAP6_B",1
"AGAP9_B",3
"AGA_B",1
"AGBL1-AS1_B",1
"AGBL1_B",3
"AGBL2_B",1
"AGBL3_B",1
"AGBL4-IT1_B",2
"AGBL4_B",3
"AGBL5-AS1_B",3
"AGBL5_B",3
"AGER_B",3
"AGFG1_B",1
"AGFG2_B",3
"AGGF1_B",3
"AGK_B",3
"AGL_B",1
"AGMAT_B",3
"AGMO_B",1
"AGO1_B",3
"AGO2_B",1
"AGO3_B",1
"AGO4_B",1
"AGPAT1_B",3
"AGPAT2_B",3
"AGPAT3_B",3
"AGPAT4_B",3
"AGPAT5_B",3
"AGPS_B",1
"AGR2_B",1
"AGR3_B",1
"AGRN_B",3
"AGRP_B",3
"AGTPBP1_B",1
"AGTR1_B",2
"AGTR2_B",1
"AGTRAP_B",3
"AGT_B",2
"AGXT2_B",1
"AGXT_B",3
"AHCTF1_B",3
"AHCYL1_B",1
"AHCYL2_B",1
"AHCY_B",3
"AHDC1_B",3
"AHI1_B",3
"AHNAK2_B",3
"AHNAK_B",3
"AHRR_B",2
"AHR_B",2
"AHSA1_B",3
"AHSG_B",1
"AHSP_B",2
"AICDA_B",1
"AIDA_B",3
"AIF1L_B",3
"AIF1_B",2
"AIFM1_B",1
"AIFM2_B",3
"AIFM3_B",3
"AIG1_B",1
"AIM2_B",1
"AIMP1_B",1
"AIMP2_B",1
"AIPL1_B",3
"AIP_B",3
"AIRE_B",3
"AIRN_B",1
"AJAP1_B",3
"AJUBA_B",3
"AK1_B",3
"AK2_B",3
"AK3_B",1
