"","ADIPOSE_TISSUE","ADRENAL_GLAND","BLADDER","BLOOD","BLOOD_VESSEL","BONE_MARROW","BRAIN","BREAST","CERVIX_UTERI","COLON","ESOPHAGUS","FALLOPIAN_TUBE","HEART","KIDNEY","LIVER","LUNG","MUSCLE","NERVE","OVARY","PANCREAS","PITUITARY","PROSTATE","SALIVARY_GLAND","SKIN","SMALL_INTESTINE","SPLEEN","STOMACH","TESTIS","THYROID","UTERUS","VAGINA"
"ARID1B",-0.138252386198743,0.12246523229616,-0.0848864967871679,0.0727302789150586,-0.50487405945407,0.06750438898576,0.0304727594168533,-0.0928084897071315,-0.113430991433853,0.0184358153601847,0.089913630511805,-0.235867674443738,-0.0475914925996665,-0.00514081808514184,0.710484189639661,-0.0890984739182121,-0.0427626477111371,-0.0337120836593669,-0.150106747315023,0.0843332027599286,-0.752692283760686,-0.0319404170316058,-0.793051049279357,-0.267412264767241,0.0889507720306044,-0.304415578400695,0.0426110086960433,0.499374465527541,-0.132849014511544,-0.224740467857608,-0.0110934792120433
"ARID3A",-0.046406733468143,-0.0859222943664826,-0.112471169236015,-1.37811592385676,-0.0651418928555002,-0.238578187071497,-0.0368417339235033,-0.0919418727486302,-0.132730476728449,-0.0950729653549048,-0.144528526071493,-0.137136465492699,-0.0431109206867316,-0.0776881170760756,-0.256113262238425,-0.0594896774086155,-0.0195430919681301,-0.0252852237755701,-0.225728655866517,-0.00262213401520511,-0.148089513321613,-0.149224495968834,0.0698083840786054,-0.326337543109669,-0.14621957783813,-0.0383695731748445,-0.0855125743507774,-0.125247092344822,-0.243318960115796,-0.116669496619512,-0.188804674193883
"ARID3B",-0.169489790225182,-0.054633920563645,-0.0726020212128936,0.896374326520132,-0.165921065981262,-0.00260320378981648,-0.0370003288021594,-0.216527275171711,-0.224522278461053,-0.0269960611335938,-0.00732037320118423,-0.290748183659992,-0.00484748921506415,-0.061513971588241,-0.0890199699953944,-0.105600037835023,0.189252672054802,-0.105150786812233,-0.357842335690123,0.0870444450418759,-0.271634679135453,-0.0524214908579855,-0.00530160607367822,0.0673916390298592,-0.0878270872535261,-0.353619171094714,-0.0593110323594765,0.0524844876725629,-0.0859522540460631,-0.00121064498982802,-0.0543439706171416
"ARID4A",-0.200264943659007,-0.077428696518267,-0.435256032786034,-0.76056269478848,-0.766276185165909,-0.175597603768342,-0.0971674489010199,-0.217918617290935,-0.509341403271759,-0.335754218031925,-0.489267670656281,-0.435091011576328,-0.0225702389046674,-0.12692919504516,0.103472397901198,-0.502641311227323,-0.00111961468803183,-0.260413059365717,-0.694074172350761,0.223301261670195,0.0673813073832991,-0.300497273876523,-0.341807647289127,-0.302042891989814,-0.143790088353038,-0.00696930980999611,-0.239491821596705,-0.0603758130159862,-0.222051954713692,-0.658107956769956,-0.602235552667995
"ARID4B",0.149980489071826,0.030402989464817,-0.186271076400097,-0.396244557430176,0.592406010146146,0.410070201799653,0.0098574162471338,0.148334340290291,0.360484361298766,-0.603392708247085,-0.334913214713333,0.254172064347939,0.24532796168666,-0.0538560618045975,2.91750013373298,0.176305940082563,0.0934020018655861,0.351314083326644,0.429307040585248,0.277923542707871,-2.01493527328964,-0.155331798895918,0.3645938938458,0.567264166700658,-0.172852942983203,-0.306416414455789,-0.177410830232515,-0.155140334223983,-0.0455128695328949,0.0806170866449846,-0.00951718759955057
"ARID5B",-0.189710012663753,-0.0224603235189698,-0.106618537499963,-2.182644408786,-0.808343345519436,-0.0571510430669448,-0.000737920095533387,-0.167204615712031,-0.191528237251417,-0.043257101493858,0.0864557645723281,-0.445327370382255,-0.0502170218364529,-0.0846425904926892,0.346681982803275,-0.454651718010814,-0.502906636530292,0.028358130267821,-0.222832844511052,-0.236858542290215,1.67955398164342,-0.153787329792774,0.245746412836978,0.117042392138764,-0.110454562991786,-0.746785142980174,-0.0581434785910807,0.0561926649838054,-0.268872312130314,-0.422984603740834,0.182324187504664
"ARNT",-0.299751255692018,-0.276050991306992,-0.2111545499745,-0.114130524102533,-0.369832767725342,-0.0830585571873516,-0.126182591610354,-0.25389654736148,-0.830931919902377,-0.175613590852984,-0.170562515507655,-0.616974877879028,-0.173041715666205,-0.110412091529949,-0.429424480766996,-0.853842078352787,-0.346772468434722,-0.616142218691122,-0.713440340374428,-0.883675931738319,-0.695558389755813,-0.40096731990299,-0.345780039000972,-0.68035352115819,-0.312253385779702,-0.34445684922099,-0.337031386556323,0.185878993018877,-0.401910612704936,-0.662207979077083,-0.583520019150747
"ARX",-0.157423857258745,-0.0155968585873269,-0.225645722148957,0.351160154389808,-0.455653090829303,-0.310292839552429,-0.102856566227311,-0.170988089186436,-0.357737274487569,-0.195854968066132,-0.315207457687402,-0.192203335835945,-0.092683162320819,-0.0877121968954513,0.33487922500181,-0.260444663228956,-0.0840089038761882,-0.366623179591537,-0.337192795193942,-1.08690299602026,-1.70872262851682,-0.18116487258098,-0.208812802633253,-0.437327611301701,-0.242067506505081,-0.309419119117476,-0.0491207749393045,0.397816176991113,0.00537931045485741,-0.328237835231051,-0.516819157549707
"ASCL1",-0.199447333595595,0.0796837076324585,0.249394417702932,-4.72582941965744,0.521760803131632,0.250339814060724,-0.0861858373262903,-0.163593742214343,0.0174705345615443,0.205883999292206,0.0814963738959701,0.196201442046909,-0.0386513725981794,-0.0110770176365989,-0.0644029365923055,-0.242423553150624,0.519405793299216,-0.419709602238338,-0.169588202954084,0.0191522196541645,-1.04254468048818,0.173847850346535,0.637910510386069,-0.229358393346729,0.169430588872849,0.11152078268515,0.118203716653536,0.092661088050239,-0.106666404908184,0.240925657334897,-0.106661834433907
"ASCL2",0.0740858497922719,-0.0155600429786943,-0.593395315301645,2.65141464219214,-0.815720068885933,-0.152498240422303,0.0382516657848683,-0.00955678669192398,-0.208091103892065,-0.711614976029151,-0.641342063191354,-0.0665666764463284,-0.0871342079968205,0.00443320952327488,0.197408666256193,0.156076624654516,2.75283486829786,0.0921430657771836,0.0360380591178014,-0.0899469639556297,-0.438117782907753,-0.317934101932621,-0.439686044656791,0.256840093963462,-0.327158890974398,-0.467569645154176,-0.0956654410475059,0.159720840231879,-0.0981455935158654,-0.678324196804062,-0.260171304499257
